iter	Passed	Remaining
0	146	145855
1	146	73267
2	147	49098
3	148	36967
4	149	29691
5	149	24837
6	150	21371
7	151	18820
8	152	16788
9	153	15161
10	153	13835
11	154	12723
12	155	11787
13	157	11064
14	157	10368
15	159	9786
16	159	9241
17	160	8753
18	161	8317
19	162	7939
20	163	7612
21	164	7291
22	164	7006
23	165	6740
24	166	6488
25	166	6255
26	167	6042
27	169	5899
28	170	5714
29	171	5549
30	172	5391
31	173	5235
32	173	5091
33	174	4957
34	175	4833
35	176	4713
36	176	4600
37	177	4491
38	178	4388
39	178	4290
40	179	4197
41	180	4108
42	180	4023
43	181	3943
44	182	3866
45	182	3791
46	183	3720
47	184	3653
48	184	3590
49	186	3536
50	187	3489
51	188	3438
52	189	3382
53	189	3326
54	190	3272
55	191	3221
56	191	3172
57	192	3130
58	193	3086
59	194	3042
60	194	3000
61	195	2959
62	196	2920
63	197	2881
64	197	2843
65	198	2815
66	200	2786
67	200	2750
68	201	2717
69	202	2683
70	202	2650
71	203	2619
72	203	2588
73	204	2559
74	205	2535
75	206	2509
76	207	2482
77	207	2454
78	208	2427
79	208	2401
80	209	2376
81	210	2354
82	210	2327
83	211	2311
84	212	2289
85	213	2266
86	213	2245
87	214	2223
88	215	2203
89	215	2182
90	216	2162
91	217	2147
92	218	2131
93	219	2112
94	219	2094
95	220	2075
96	221	2058
97	221	2040
98	222	2023
99	222	2006
100	223	1991
101	224	1976
102	225	1961
103	225	1945
104	226	1930
105	227	1915
106	227	1901
107	228	1886
108	229	1872
109	229	1858
110	230	1845
111	231	1832
112	231	1819
113	232	1806
114	232	1793
115	233	1780
116	234	1766
117	234	1754
118	235	1743
119	236	1732
120	236	1720
121	237	1708
122	238	1697
123	238	1686
124	239	1674
125	239	1663
126	240	1652
127	241	1642
128	241	1632
129	242	1623
130	243	1613
131	243	1603
132	244	1593
133	245	1584
134	245	1574
135	246	1565
136	246	1555
137	247	1546
138	248	1538
139	249	1533
140	250	1524
141	250	1514
142	251	1506
143	252	1498
144	252	1490
145	253	1482
146	254	1474
147	254	1466
148	255	1458
149	256	1451
150	256	1443
151	257	1435
152	257	1428
153	258	1420
154	259	1413
155	259	1405
156	260	1398
157	261	1391
158	261	1384
159	262	1377
160	262	1369
161	263	1363
162	264	1356
163	264	1350
164	265	1344
165	266	1338
166	266	1331
167	267	1326
168	268	1320
169	269	1314
170	269	1308
171	270	1302
172	271	1296
173	271	1290
174	272	1284
175	273	1282
176	274	1276
177	275	1271
178	275	1265
179	276	1259
180	277	1254
181	277	1249
182	278	1243
183	279	1238
184	280	1234
185	280	1229
186	281	1223
187	282	1218
188	282	1213
189	283	1208
190	283	1202
191	284	1197
192	285	1192
193	286	1188
194	286	1183
195	287	1179
196	288	1174
197	288	1169
198	289	1165
199	290	1160
200	290	1155
201	291	1151
202	292	1148
203	293	1144
204	293	1139
205	294	1135
206	295	1130
207	295	1126
208	296	1122
209	297	1118
210	297	1114
211	298	1109
212	299	1105
213	299	1101
214	300	1097
215	301	1093
216	301	1089
217	302	1084
218	303	1080
219	303	1076
220	304	1072
221	305	1068
222	305	1065
223	306	1061
224	307	1057
225	307	1054
226	308	1050
227	309	1046
228	309	1042
229	310	1038
230	311	1036
231	312	1033
232	312	1029
233	313	1025
234	314	1022
235	314	1018
236	315	1014
237	315	1011
238	316	1008
239	317	1004
240	318	1001
241	318	998
242	319	995
243	320	991
244	320	988
245	321	984
246	321	981
247	322	978
248	323	975
249	323	971
250	324	968
251	325	965
252	325	962
253	326	958
254	327	955
255	327	952
256	328	948
257	328	945
258	329	942
259	330	939
260	330	936
261	331	933
262	331	930
263	332	927
264	333	924
265	333	921
266	334	918
267	334	914
268	335	912
269	336	909
270	337	907
271	337	904
272	338	901
273	338	897
274	339	894
275	339	891
276	340	888
277	341	885
278	341	882
279	342	880
280	343	877
281	343	875
282	344	872
283	344	869
284	345	866
285	345	863
286	346	861
287	347	858
288	347	855
289	348	853
290	349	850
291	349	848
292	350	846
293	351	843
294	352	841
295	352	838
296	353	836
297	354	834
298	354	831
299	355	829
300	356	827
301	356	825
302	357	822
303	358	820
304	358	817
305	359	814
306	359	812
307	360	810
308	361	807
309	362	805
310	362	803
311	363	801
312	363	798
313	364	796
314	365	794
315	365	791
316	366	789
317	367	787
318	367	785
319	368	783
320	369	781
321	369	778
322	370	776
323	371	774
324	371	772
325	372	770
326	373	768
327	374	766
328	375	764
329	375	762
330	376	760
331	376	758
332	377	756
333	378	753
334	378	751
335	379	749
336	380	747
337	380	745
338	381	743
339	382	741
340	382	739
341	383	737
342	383	734
343	384	732
344	384	730
345	385	728
346	386	726
347	386	724
348	387	722
349	388	720
350	388	718
351	389	716
352	389	714
353	390	712
354	391	710
355	391	708
356	392	706
357	393	704
358	393	702
359	394	700
360	394	698
361	395	696
362	395	694
363	396	692
364	397	690
365	397	688
366	398	687
367	398	685
368	399	683
369	400	681
370	401	679
371	401	678
372	402	676
373	402	674
374	403	672
375	404	670
376	404	669
377	405	667
378	406	665
379	407	664
380	407	662
381	408	660
382	408	658
383	409	657
384	410	655
385	411	653
386	411	652
387	412	650
388	413	649
389	413	647
390	414	645
391	415	644
392	415	642
393	416	640
394	417	639
